title,location,price,negotiable,age
Urgent land for sale,"Wyndham Area,Wyndham Vale, ","$285,000",,07/02/2020
Sale by nomination,"Wyndham Area,Tarneit, ","$10,000",,07/02/2020
Land For Nomination Sale,"Moreland Area,Brunswick West, ","$352,000",Negotiable,07/02/2020
LAND FOR SALE IN ELEMENTS ESTATE,"Melton Area,Truganina, ","$365,000",,06/02/2020
Perfect block Nomination （$15000）,"Wyndham Area,Wyndham Vale, ","$15,000",Negotiable,06/02/2020
looking for land,"Wyndham Area,Tarneit, ",Negotiable,,06/02/2020
Block 400m,"Hume Area,Mickleham, ","$285,000",Negotiable,06/02/2020
Land for sale,"Melton Area,Burnside, ","$334,000",,06/02/2020
Titled Land for sale,"Wyndham Area,Wyndham Vale, ",$295,,06/02/2020
MAPLES ESTATE (Greenvale)LAND FOR SALE **MUST SELL** - ONLY 5% DEPOSIT,"Hume Area,Campbellfield, ","$419,000",,06/02/2020
Titled Land For Sale - Kalkallo,"Whittlesea Area,Donnybrook, ","$380,000",Negotiable,05/02/2020
Land for sale in Wollert,"Whittlesea Area,Wollert, ","$340,000",,05/02/2020
Land Nomination: Land in Truganina for Sale (Entitlement: May 2020),"Wyndham Area,Tarneit, ","$330,000",,05/02/2020
Block of land,"Melton Area,Plumpton, ","$360,000",,05/02/2020
Land For Sale in Craigieburn,"Hume Area,Craigieburn, ","$340,000",Negotiable,05/02/2020
$25000 Savings/Discount. 450 Sqm of Land for Sale in Mambourin Estate.,"Melbourne City,Melbourne CBD, ","$15,000",,05/02/2020
RARE TITLED land Mt Atkinson (400sqm),"Hume Area,Tullamarine, ","$345,000",,05/02/2020
Titled Land in Wollert,"Whittlesea Area,Wollert, ","$405,000",,05/02/2020
BLOCK FOR SALE EXFORD WATERS CLOSE TO RIVER WALK,"Melton Area,Melton South, ","$250,000",,05/02/2020
Land for sale in craigieburn,"Hume Area,Craigieburn, ","$400,000",Negotiable,04/02/2020
Vacant Land 35 Kilometres Melbourne CBD - Melton South $188000,"Melton Area,Melton South, ","$188,000",,04/02/2020
Land for sale,"Melton Area,Melton West, ","$275,000",Negotiable,04/02/2020
Land for sale,"Melbourne City,Melbourne CBD, ",Negotiable,,04/02/2020
Land for sale (448 sq mt plot in werribee) 30 min drive to city.,"Wyndham Area,Werribee, ","$340,000",,04/02/2020
Land for sale,"Wyndham Area,Tarneit, ","$272,000",Negotiable,04/02/2020
Land,"Wyndham Area,Werribee, ","$383,000",Negotiable,04/02/2020
Ready to build land in tarneit for sale!,"Wyndham Area,Tarneit, ","$330,000",,04/02/2020
Land for sale (by nomination only),"Wyndham Area,Hoppers Crossing, ","$292,900",,03/02/2020
Land for sale wallan,"Hume Area,Mickleham, ","$262,000",,24/02/2020
land for sale in Highlands Craigieburn ,"Hume Area,Craigieburn, ","$20,000",,24/02/2020
"Land for sale in Melbourne North Donnybrook (Cloverton Estate, )","Moreland Area,Pascoe Vale South, ","$230,000",,24/02/2020
Land for sale(Wyndham vale) Savana,"Wyndham Area,Point Cook, ","$310,000",Negotiable,24/02/2020
